item_id,cand_A,cand_B,cand_C,cand_D
1,microsoft_translate,chatgpt,gemini,google_translate
2,microsoft_translate,chatgpt,google_translate,gemini
3,microsoft_translate,chatgpt,google_translate,gemini
4,microsoft_translate,google_translate,chatgpt,gemini
5,microsoft_translate,gemini,chatgpt,google_translate
6,microsoft_translate,chatgpt,google_translate,gemini
7,gemini,microsoft_translate,chatgpt,google_translate
8,chatgpt,microsoft_translate,gemini,google_translate
9,chatgpt,google_translate,microsoft_translate,gemini
10,chatgpt,google_translate,microsoft_translate,gemini
11,chatgpt,microsoft_translate,gemini,google_translate
12,microsoft_translate,google_translate,gemini,chatgpt
13,gemini,chatgpt,google_translate,microsoft_translate
14,chatgpt,gemini,google_translate,microsoft_translate
15,google_translate,chatgpt,microsoft_translate,gemini
16,chatgpt,microsoft_translate,google_translate,gemini
17,chatgpt,microsoft_translate,gemini,google_translate
18,chatgpt,gemini,microsoft_translate,google_translate
19,google_translate,gemini,chatgpt,microsoft_translate
20,microsoft_translate,chatgpt,google_translate,gemini
21,chatgpt,microsoft_translate,google_translate,gemini
22,google_translate,microsoft_translate,chatgpt,gemini
23,google_translate,chatgpt,gemini,microsoft_translate
24,gemini,google_translate,chatgpt,microsoft_translate
25,chatgpt,google_translate,microsoft_translate,gemini
26,microsoft_translate,gemini,chatgpt,google_translate
27,microsoft_translate,chatgpt,gemini,google_translate
28,gemini,chatgpt,microsoft_translate,google_translate
29,chatgpt,microsoft_translate,google_translate,gemini
30,microsoft_translate,chatgpt,google_translate,gemini
31,microsoft_translate,google_translate,gemini,chatgpt
32,google_translate,chatgpt,microsoft_translate,gemini
33,microsoft_translate,chatgpt,google_translate,gemini
34,microsoft_translate,google_translate,chatgpt,gemini
35,gemini,chatgpt,google_translate,microsoft_translate
36,google_translate,chatgpt,gemini,microsoft_translate
37,google_translate,gemini,microsoft_translate,chatgpt
38,microsoft_translate,google_translate,gemini,chatgpt
39,gemini,chatgpt,microsoft_translate,google_translate
40,chatgpt,gemini,google_translate,microsoft_translate
41,google_translate,gemini,microsoft_translate,chatgpt
42,microsoft_translate,gemini,chatgpt,google_translate
43,gemini,google_translate,chatgpt,microsoft_translate
44,microsoft_translate,gemini,chatgpt,google_translate
45,microsoft_translate,chatgpt,google_translate,gemini
46,microsoft_translate,chatgpt,gemini,google_translate
47,microsoft_translate,chatgpt,gemini,google_translate
48,microsoft_translate,gemini,chatgpt,google_translate
49,google_translate,gemini,chatgpt,microsoft_translate
50,google_translate,gemini,chatgpt,microsoft_translate
51,google_translate,chatgpt,gemini,microsoft_translate
52,gemini,google_translate,microsoft_translate,chatgpt
53,microsoft_translate,gemini,chatgpt,google_translate
54,chatgpt,gemini,google_translate,microsoft_translate
55,microsoft_translate,gemini,chatgpt,google_translate
56,gemini,google_translate,chatgpt,microsoft_translate
57,google_translate,gemini,microsoft_translate,chatgpt
58,google_translate,microsoft_translate,chatgpt,gemini
59,chatgpt,gemini,microsoft_translate,google_translate
60,microsoft_translate,gemini,chatgpt,google_translate
61,google_translate,microsoft_translate,chatgpt,gemini
62,chatgpt,google_translate,gemini,microsoft_translate
63,microsoft_translate,google_translate,gemini,chatgpt
64,google_translate,microsoft_translate,chatgpt,gemini
65,microsoft_translate,chatgpt,google_translate,gemini
66,gemini,google_translate,microsoft_translate,chatgpt
67,microsoft_translate,google_translate,gemini,chatgpt
68,microsoft_translate,google_translate,gemini,chatgpt
69,microsoft_translate,google_translate,chatgpt,gemini
70,chatgpt,microsoft_translate,google_translate,gemini
71,chatgpt,microsoft_translate,google_translate,gemini
72,gemini,microsoft_translate,google_translate,chatgpt
73,gemini,microsoft_translate,google_translate,chatgpt
74,chatgpt,gemini,microsoft_translate,google_translate
75,microsoft_translate,gemini,chatgpt,google_translate
76,microsoft_translate,gemini,chatgpt,google_translate
77,gemini,google_translate,microsoft_translate,chatgpt
78,google_translate,gemini,microsoft_translate,chatgpt
79,microsoft_translate,google_translate,gemini,chatgpt
80,chatgpt,microsoft_translate,google_translate,gemini
81,gemini,google_translate,microsoft_translate,chatgpt
82,chatgpt,microsoft_translate,gemini,google_translate
83,chatgpt,google_translate,gemini,microsoft_translate
84,google_translate,microsoft_translate,chatgpt,gemini
85,gemini,microsoft_translate,chatgpt,google_translate
86,chatgpt,microsoft_translate,gemini,google_translate
87,google_translate,microsoft_translate,chatgpt,gemini
88,google_translate,gemini,chatgpt,microsoft_translate
89,google_translate,chatgpt,gemini,microsoft_translate
90,chatgpt,gemini,google_translate,microsoft_translate
91,chatgpt,google_translate,microsoft_translate,gemini
92,microsoft_translate,google_translate,chatgpt,gemini
93,gemini,chatgpt,google_translate,microsoft_translate
94,microsoft_translate,google_translate,chatgpt,gemini
95,google_translate,chatgpt,microsoft_translate,gemini
96,gemini,chatgpt,google_translate,microsoft_translate
97,chatgpt,microsoft_translate,google_translate,gemini
98,gemini,microsoft_translate,google_translate,chatgpt
99,google_translate,chatgpt,microsoft_translate,gemini
100,microsoft_translate,gemini,google_translate,chatgpt
101,microsoft_translate,gemini,chatgpt,google_translate
102,gemini,microsoft_translate,google_translate,chatgpt
103,google_translate,chatgpt,microsoft_translate,gemini
104,google_translate,chatgpt,gemini,microsoft_translate
105,microsoft_translate,gemini,google_translate,chatgpt
106,microsoft_translate,chatgpt,google_translate,gemini
107,google_translate,microsoft_translate,gemini,chatgpt
108,google_translate,chatgpt,gemini,microsoft_translate
109,gemini,chatgpt,microsoft_translate,google_translate
110,gemini,chatgpt,microsoft_translate,google_translate
111,gemini,chatgpt,microsoft_translate,google_translate
112,microsoft_translate,chatgpt,google_translate,gemini
113,gemini,google_translate,microsoft_translate,chatgpt
114,microsoft_translate,google_translate,gemini,chatgpt
115,chatgpt,gemini,google_translate,microsoft_translate
116,google_translate,gemini,chatgpt,microsoft_translate
117,chatgpt,microsoft_translate,gemini,google_translate
118,google_translate,gemini,microsoft_translate,chatgpt
119,gemini,chatgpt,google_translate,microsoft_translate
120,chatgpt,google_translate,gemini,microsoft_translate
121,microsoft_translate,gemini,google_translate,chatgpt
122,chatgpt,google_translate,gemini,microsoft_translate
123,google_translate,gemini,microsoft_translate,chatgpt
124,microsoft_translate,google_translate,chatgpt,gemini
125,microsoft_translate,chatgpt,gemini,google_translate
126,chatgpt,gemini,google_translate,microsoft_translate
127,gemini,google_translate,microsoft_translate,chatgpt
128,gemini,microsoft_translate,google_translate,chatgpt
129,microsoft_translate,gemini,google_translate,chatgpt
130,google_translate,chatgpt,microsoft_translate,gemini
131,gemini,google_translate,microsoft_translate,chatgpt
132,gemini,google_translate,microsoft_translate,chatgpt
133,gemini,chatgpt,google_translate,microsoft_translate
134,gemini,chatgpt,google_translate,microsoft_translate
135,gemini,chatgpt,google_translate,microsoft_translate
136,google_translate,gemini,microsoft_translate,chatgpt
137,gemini,microsoft_translate,google_translate,chatgpt
138,microsoft_translate,gemini,google_translate,chatgpt
139,chatgpt,microsoft_translate,gemini,google_translate
140,chatgpt,google_translate,microsoft_translate,gemini
141,chatgpt,google_translate,gemini,microsoft_translate
142,microsoft_translate,google_translate,chatgpt,gemini
143,microsoft_translate,google_translate,chatgpt,gemini
144,gemini,microsoft_translate,chatgpt,google_translate
145,gemini,microsoft_translate,chatgpt,google_translate
146,google_translate,chatgpt,gemini,microsoft_translate
147,microsoft_translate,gemini,google_translate,chatgpt
148,chatgpt,microsoft_translate,google_translate,gemini
149,chatgpt,google_translate,microsoft_translate,gemini
150,gemini,microsoft_translate,chatgpt,google_translate
151,gemini,google_translate,chatgpt,microsoft_translate
152,microsoft_translate,chatgpt,gemini,google_translate
153,gemini,google_translate,chatgpt,microsoft_translate
154,google_translate,microsoft_translate,chatgpt,gemini
155,chatgpt,google_translate,microsoft_translate,gemini
156,microsoft_translate,google_translate,gemini,chatgpt
157,microsoft_translate,chatgpt,gemini,google_translate
158,gemini,google_translate,microsoft_translate,chatgpt
159,chatgpt,microsoft_translate,google_translate,gemini
160,microsoft_translate,gemini,google_translate,chatgpt
161,microsoft_translate,google_translate,gemini,chatgpt
162,google_translate,microsoft_translate,chatgpt,gemini
163,microsoft_translate,google_translate,gemini,chatgpt
164,chatgpt,microsoft_translate,gemini,google_translate
165,gemini,microsoft_translate,chatgpt,google_translate
166,gemini,google_translate,chatgpt,microsoft_translate
167,google_translate,chatgpt,gemini,microsoft_translate
168,gemini,chatgpt,google_translate,microsoft_translate
169,gemini,microsoft_translate,google_translate,chatgpt
170,google_translate,gemini,microsoft_translate,chatgpt
171,microsoft_translate,google_translate,gemini,chatgpt
172,google_translate,gemini,chatgpt,microsoft_translate
173,chatgpt,microsoft_translate,google_translate,gemini
174,gemini,chatgpt,google_translate,microsoft_translate
175,google_translate,gemini,chatgpt,microsoft_translate
176,google_translate,gemini,chatgpt,microsoft_translate
177,gemini,google_translate,chatgpt,microsoft_translate
178,gemini,google_translate,chatgpt,microsoft_translate
179,gemini,microsoft_translate,google_translate,chatgpt
180,chatgpt,gemini,google_translate,microsoft_translate
181,gemini,chatgpt,google_translate,microsoft_translate
182,google_translate,gemini,chatgpt,microsoft_translate
183,chatgpt,gemini,google_translate,microsoft_translate
184,gemini,microsoft_translate,google_translate,chatgpt
185,microsoft_translate,gemini,google_translate,chatgpt
186,microsoft_translate,google_translate,chatgpt,gemini
187,google_translate,microsoft_translate,gemini,chatgpt
188,google_translate,chatgpt,gemini,microsoft_translate
189,gemini,google_translate,chatgpt,microsoft_translate
190,chatgpt,gemini,microsoft_translate,google_translate
191,microsoft_translate,google_translate,chatgpt,gemini
192,gemini,google_translate,microsoft_translate,chatgpt
193,microsoft_translate,gemini,chatgpt,google_translate
194,chatgpt,microsoft_translate,google_translate,gemini
195,gemini,microsoft_translate,google_translate,chatgpt
196,google_translate,microsoft_translate,gemini,chatgpt
197,gemini,microsoft_translate,google_translate,chatgpt
198,gemini,chatgpt,google_translate,microsoft_translate
199,microsoft_translate,chatgpt,google_translate,gemini
200,google_translate,microsoft_translate,gemini,chatgpt
