item_id,source_text,ref,domain,direction,sentence_type_fine,source_id,source_doc,cand_A,cand_B,cand_C,cand_D,cand_A__semantic_fidelity_0_4,cand_A__cultural_adequacy_0_4,cand_A__fluency_0_4,cand_A__error_tags,cand_A__notes,cand_B__semantic_fidelity_0_4,cand_B__cultural_adequacy_0_4,cand_B__fluency_0_4,cand_B__error_tags,cand_B__notes,cand_C__semantic_fidelity_0_4,cand_C__cultural_adequacy_0_4,cand_C__fluency_0_4,cand_C__error_tags,cand_C__notes,cand_D__semantic_fidelity_0_4,cand_D__cultural_adequacy_0_4,cand_D__fluency_0_4,cand_D__error_tags,cand_D__notes
1,Na ivola e vakaraitaka na mataqali veitokoni e sa tu.,The booklet explains what support is available.,medical,fj->en,information,medical|medical_misc|a84e70d25382,ocr_txt_bundle::medical_misc,The book shows the kind of support that is available.,The book shows the types of support that exist.,The letter shows the type of support that is available.,The letter indicates the type of support that is available.,,,,,,,,,,,,,,,,,,,,
2,Stay home if you feel unwell.,Tiko ga e vale kevaka o sega ni bula vinaka.,medical,en->fj,information,medical|medical_misc|e28709ac7521,ocr_txt_bundle::medical_misc,Tiko ga e vale ke o tauvimate.,Nawa mai vale keimami ke noqu saumi.,Mo tiko ga e vale kevaka o vakila ni o sega ni bula vinaka.,Tiko e vale kevaka ko sa sega ni bula vinaka.,,,,,,,,,,,,,,,,,,,,
3,"o ira na luvei aseri tagane: o jimina, o isua, o beria kei sera na luvena yalewa. o ira na luvei beria tagane, o eba kei malikieli.","and the sons of asher; jimnah, and ishuah, and isui, and beriah, and serah their sister: and the sons of beriah; heber, and malchiel.",bible,fj->en,statement,bible|genesis|046|017,bible_genesis_verse__fj2en.csv,"Asher's sons: Jimin, Issu, Beriah, and his daughters Sarah. Beriah's sons, Eb and Malikiel.","the sons of the father are: jimina, isua, beria and also his daughter. the sons of beria are, eba and malikieli.","The sons of Asher: Jimnah, and Ishvah, and Beriah, and Serah their daughter. The sons of Beriah: Eber and Malchiel.","The sons of Aseri: Jimina, Isua, Beria and Sera his daughter. The sons of Beria: Eba and Malikieli.",,,,,,,,,,,,,,,,,,,,
4,Most people will recover at home without medical intervention.,E levu na tamata ena rawa ni bula vinaka ga e vale ka sega ni gadreva na qaravi vakavuniwai.,medical,en->fj,information,medical|medical_misc|acfeeb518b09,ocr_txt_bundle::medical_misc,E levu na tamata era na bula mai vale ke sega ni veiqaravi vakavuniwai.,E levu era na bula vinaka tale e vale ke sega na veiqaravi vakavuniwai.,Na le ni lewe levu o ira e na mai maroroi ena nodra vale me sega ni veisureti na vakameduri.,Vuqa na tamata era na drodro cake tale mai vale ke sega na veivuke vakavuniwai.,,,,,,,,,,,,,,,,,,,,
5,"the president may, on the recommendation of the judicial services commission following consultation by it with the attorney-general, appoint a person to act as a member of the commission during any period or during all periods, when there is a vacancy in the membership of the commission or when a member is absent from duty or from fiji or is, for any reason, unable to perform the functions of office.","na peresitedi e rawa ni digitaka e dua me taura vakatawa na itutu ni lewenimatabose, ena ivakasala ni matabose veiqaravi ni mataveilewai salamuria na nodra veitalanoa kei na vunilawa, ena gauna e lala kina na itutu se ena gauna e yali se gole kina vakacakacaka i vanuatani na lewenimatabose, se ena dua ga na inaki e sega ni qarava rawa kina na nona itavi.",legal,en->fj,legal_clause,constitution|109(5),constitution - eng.txt,"E rawa vua na peresitedi, ena vakatutu ni Komisina ni Veiqaravi ni Veilewai ni oti na nona veivosaki kei na Loya Raraba, me lesia e dua me lewe ni Komisina ena dua ga na gauna se ena gauna kece sara, ni sa lala na nona itutu na lewe ni Komisina se kevaka e yali e dua na lewena mai na itavi se mai Viti se e,  ena dua ga na vuna, sega ni rawa ni qarava na itavi ni itutu.","Sa rawa ni Peresitedi, ena ivakasala ni Komiti ni Veiqaravi Vakalawa ni oti na nona veivosaki kei na Kovana-Jenerali, me lesia e dua na tamata me cakacaka vakalevu ni lewe ni komiti ena gauna kece ga, ni sa lala na itutu ni lewenilotu ena komiti se ni sega ni tiko e dua na lewenilotu ena nona itavi se mai Viti se ni sega ni rawa, ena vuna cava ga, ni cakava na itavi ni nona itutu.","na peresitene e rawa ni, ena i tovo ni veivakalesu ena taro tapenaka ni ia kei na turaga ni veika vakavanua, vakataki koya e dua na tamata me qiriti me tiko ena yanuyanu ni komiti e na veisiga eso se ena veisiga kece, ni tu e dua na vakadidike ena iwasewase ni komiti se ni mai sausau e dua na mema mai na cakacaka se mai Viti se sa, ena vuku ni dua na kena itukutuku, sega ni rawa ni vakayagataka na itavi ni itavi.","na peresitedi e rawa ni, ena vakatutu ni komisi ni veiqaravi vakalawa ni oti na nona veitalanoa kei na loya levu, me digitaka e dua na tamata me lewe ni komisi ena dua na gauna se ena veigauna kecega, ni sa lala tu e dua na lewe ni komisi se ni sa yali e dua na lewenilotu mai na nona itavi se mai na dua na vuna e sega ni rawa ni vakayacori kina.",,,,,,,,,,,,,,,,,,,,
6,"Kevaka sa bibi na ivakatakilakila, gole vakatotolo ki na vale ni bula e qarava vakatabakidua na COVID-19.","If your symptoms become severe, go immediately to a dedicated health facility.",medical,fj->en,symptom,medical|covid_general|2d7d783ab76e,ocr_txt_bundle::covid_general,"If symptoms are severe, go to a COVID-19 intensive care facility immediately.","If you see any symptoms, go quickly to a healthcare facility that manages COVID-19.","If symptoms are severe, go to a health center that specializes in COVID-1","If the symptoms are severe, go immediately to the health facility that specializes in COVID-19.",,,,,,,,,,,,,,,,,,,,
7,i have a long sleeve shirt and long pants.,e dua tiko na noqu sote ligabalavu kei na tarausese balavu.,conversational,en->fj,statement,conversational|years_4_5|00032,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,Sa tiko vei au e dua na sote ni liga balavu kei na sitoa balavu.,E dua na sote liga balavu kei na tarausese balavu.,E tiko na t-shirt ni savasava kei na paniti lasu.,e tiko vei au e dua na siqeleti liga balavu kei na tarausese balavu.,,,,,,,,,,,,,,,,,,,,
8,the court of disputed returns must make a determination on any petition or proceeding within days of the date when the petition or proceeding is brought before it.,na mataveilewai ni kudru ni veidigidigi e dodonu me na vakatulewataka na kudru se na veilewai kece e kau cake mai ena loma ni na siga mai na siga e ciqoma kina na kudru se na veilewai qo.,legal,en->fj,obligation,constitution|65(8),constitution - eng.txt,na porcelu ni lewa e dodonu me raica na veika kece e baleti ira na yacadra se na itavi e vakaturaga ena siga ni gauna e kauti mai kina na petition se na itavi.,Na Mataveilewai ni Veileti ni Lesu Mai e dodonu me vakatulewataka e dua na kerekere se cakacaka ena loma ni siga mai na tikinisiga e kau mai kina na kerekere se cakacaka.,Na Mataveilewai ni Veisisivi ni Veitokonaki e dodonu me na vakatulewa ena dua ga na kerekere se veilewai e loma ni [n] na siga mai na siga e kau mai kina na kerekere se veilewai ki matana.,na mataveilewai ni veivakasukai e veiletitaki e dodonu me vakatulewataka e dua na kerekere se veilewai ena loma ni vica na siga mai na siga e kau mai kina na kerekere se veilewai e matana.,,,,,,,,,,,,,,,,,,,,
9,"e dua na lawa e yalana na dodonu kei na galala e vakamacalataki ena wase qo, e sega ni kena ibalebale ni sega na kena kaukauwa ni sa veicalati kei na iyalayala e dusimaka na wase qo, kevaka e rawa ni vakaukauwataki na yalani ni kena vakamacalataki, me kua kina ni sivia na iyalayala e dusimaka na wase qo. ena tikina oya, e dodonu me vakaukauwataki na yalani ni kena ivakamacala.","a law that limits a right or freedom set out in this chapter is not invalid solely because the law exceeds the limits imposed by this chapter if the law is reasonably capable of a more restricted interpretation that does not exceed those limits, and in that case, the law must be construed in accordance with the more restricted interpretation.",legal,fj->en,definition,constitution|1(3),constitution - itaukei.txt,"One law explains the necessity and freedom in this section; it does not imply that there is no effectiveness when it is defined by the principles outlined in this section, provided the explanations can strengthen the necessary understanding without exceeding the principles defined in this section. In that regard, it is appropriate to strengthen the understanding of its explanation.","a law that limits the rights and freedoms set forth in this article shall not be deemed invalid when it conflicts with the limits prescribed by this article, provided that the limits of its interpretation can be strengthened so as not to exceed the limits prescribed by this article. in that regard, the boundaries of its definition must be strengthened.","A statute restricting the rights and privileges described in this chapter does not mean that it is without force when it is inconsistent with the limits defined by this chapter, and if the limitations described in this chapter may be enforced, so as not to exceed the limits prescribed by this chapter. In that regard, the definition limits should be strengthened.","A law that limits the rights and freedoms described in this chapter does not mean it is without force when it conflicts with the limitations specified in this chapter. If the described limitation can be enforced, so that it does not exceed the limitations specified in this chapter, then in that regard, the limitation of its definition must be enforced.",,,,,,,,,,,,,,,,,,,,
10,"the president shall receive such remuneration, allowances and other benefits, as prescribed by a written law made under section . oath of office","na peresitedi me na soli vua na isau ni veiqaravi, oco kei na idole tale e so me vaka e virikotori ena lawa tabaki e buli ena tikina . bubului",legal,en->fj,obligation,constitution|82(3),constitution - eng.txt,"na nona e na i tovo ni veiqaravi, lalo ni veivakacegu kei na veika me baleta na nona i vakarau, me vaka e vakaraitaki ena dua na lawa ni yaca e solia ena na vula. na i vakadua ni i tovo.","na peresitedi ena rawata na isau, ilavo kei na veivuke tale eso, me vaka e virikotori ena dua na lawa volai e caka ena ruku ni wase . bubului ni itutu","me na ciqoma na peresitedi na isau, ivakarau, kei na yaga tale eso, me vaka e virikotori ena dua na lawa volai e caka ena wase . bubului ni itutu","Na peresideni ena ciqoma na sausaumi, na veivuke ni ilavo kei na veika tale eso e yaga, me vaka e dusi ena dua na lawa volai ka buli ena ruku ni wase . Vosa ni Bubului ni Dawa.",,,,,,,,,,,,,,,,,,,,
