domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text,sentence_type,sentence_type_fine
bible,genesis,bible|genesis|016|010,bible_genesis_verse__en2fj.csv,en,fj,en->fj,"and the angel of the lord said unto her, i will multiply thy seed exceedingly, that it shall not be numbered for multitude.","na agilosi i jiova sa tukuna vua, ""au na vakalewevuqataka na nomu kawa me ra na sega ni wili rawa. """,long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006314,Fijian-English_Dictionary.txt,fj,en,fj->en,suvania,"(eng.) souvenir. many of the fij i souvenirs sold in tourist gift shops originate from indonesia,",short,statement
bible,genesis,bible|genesis|023|009,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"""me solia mada vei au na veiqara vatu e makapila, o koya sa tiko vua, sa tiko ena mua ni were oqo. me solia vei au ena kena i sau taucoko. me taukeni kina nai bulubulu oqo ena kemuni maliwa. ""","that he may give me the cave of machpelah, which he hath, which is in the end of his field; for as much money as it is worth he shall give it me for a possession of a buryingplace amongst you.",long,statement
legal,constitution,constitution|8(6)(b),constitution - eng.txt,en,fj,en->fj,provides for a person who is a non-citizen to be detained or restrained as a consequence of his or her arrival in fiji without the prescribed entry documentation;,na vakatulewa ni mataveilewai ni rogokudru se mataveilewai cecere kevaka e rogoci tale ena mataveilewai e rua qo.,long,legal_clause
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0007862,Fijian-English_Dictionary.txt,fj,en,fj->en,voli,swim around here and there. vei-raiyaki to look here and there.,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0003272,Fijian-English_Dictionary.txt,fj,en,fj->en,pots,"for direct drinking. they had one or more spouts, the water being poured into the mouth from",short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002762,Fijian-English_Dictionary.txt,fj,en,fj->en,it,schools close to shore. syn. kanace (general name for mullet). waikava is a river on the southern,short,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0006455,Fijian-English_Dictionary.txt,fj,en,fj->en,both,"ends to a cord of plaited sinnet. presentation is always done with fairly elaborate ceremony,",short,statement
bible,genesis,bible|genesis|038|024,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"ni sa oti tale e tolu na vula, sa tukuni sara vei juta ka vaka: ""o tamare na vugomu ea volitaki koya ena sala ka sa bukete tiko. "" sa tukuna yani o juta, ""kauti koya mai me mai vakamai! ""","and it came to pass about three months after, that it was told judah, saying, tamar thy daughter in law hath played the harlot; and also, behold, she is with child by whoredom. and judah said, bring her forth, and let her be burnt.",long,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0005773,Fijian-English_Dictionary.txt,fj,en,fj->en,sauvou,"(colo east) adj . crazy. syn. lialia. sava, savata v. to wash it. sovu ni savasava laundry soap. sovu ni sili bath soap. na sava isulu the laundry. vunisava functional duty of certain clans to be custodians of chiefly burials, especially the",short,statement
legal,constitution,constitution|124(2)(a),constitution - eng.txt,en,fj,en->fj,"the prime minister, who shall be the chairperson;","paraiminisita, me jemeni;",medium,obligation
bible,genesis,bible|genesis|027|044,bible_genesis_verse__fj2en.csv,fj,en,fj->en,"""tiko mai kea me vica na siga, qai lesu mai ni sa oti na nona cudru,","and tarry with him a few days, until thy brother's fury turn away;",medium,statement
dictionary,dictionary_parallel_fj2en,dictionary|dictionary_parallel_fj2en|0002055,Fijian-English_Dictionary.txt,fj,en,fj->en,gasau mokimokiti,(archaic) n. cannon balls.,short,statement
definition,definition,definition|000445,definition.xlsx::Sheet1,fj,en,fj->en,nabugoqu tagane,husband's father,short,headword
