direction,domain,system,bleu,chrf,ter,comet,fluency,adequacy
en->fj,bible,chatgpt,0.0507741672854204,0.2816518894194392,0.76,0.6693649888038635,4.0,3.0
en->fj,bible,chatgpt,0.0169861974906263,0.1911953690745632,1.3,0.4805772006511688,3.0,2.0
en->fj,bible,chatgpt,0.016017951809519,0.3300950748258816,1.2857142857142858,0.5748172998428345,2.0,2.0
en->fj,bible,chatgpt,0.0233786678401499,0.2749449588168755,0.8,0.6594238877296448,4.0,3.0
en->fj,bible,chatgpt,0.1112538229240693,0.441752223750832,0.7608695652173914,0.6970133185386658,4.0,3.0
en->fj,bible,chatgpt,0.0512878024597069,0.3536272351235602,0.7419354838709676,0.6442339420318604,4.0,3.0
en->fj,bible,chatgpt,0.0240026467310339,0.3446601024787399,0.84,0.6979424953460693,3.0,2.0
en->fj,bible,chatgpt,0.0530245960435123,0.3299787278675601,0.875,0.7392891049385071,3.0,2.0
en->fj,bible,chatgpt,0.0978915931578465,0.2714733182229185,0.7804878048780488,0.6006824374198914,4.0,3.0
en->fj,bible,chatgpt,0.0219128602088678,0.3099994543979318,0.88,0.6851660013198853,3.0,2.0
en->fj,bible,chatgpt,0.0141265088599887,0.1305357154092892,0.8888888888888888,0.4670514762401581,2.0,1.0
en->fj,bible,chatgpt,0.1526434931442185,0.4661301795674112,0.6129032258064516,0.7346776127815247,3.0,3.0
en->fj,bible,chatgpt,0.020295032579515,0.1583990688363549,0.7857142857142857,0.6038346886634827,2.0,1.0
en->fj,bible,chatgpt,0.0214668164489098,0.2245393514153919,0.8666666666666667,0.5761442184448242,2.0,2.0
en->fj,bible,chatgpt,0.018772266185346,0.2468186121713853,0.9696969696969696,0.6049851775169373,2.0,2.0
en->fj,bible,chatgpt,0.1153100209545052,0.4529788871993265,0.9714285714285714,0.5474466681480408,3.0,2.0
en->fj,bible,chatgpt,0.0630052872475445,0.4026799282769121,0.6774193548387096,0.7609646916389465,4.0,3.0
en->fj,bible,chatgpt,0.0104997863341958,0.169398124565585,0.8571428571428571,0.6638312935829163,3.0,2.0
en->fj,bible,chatgpt,0.0230508986265666,0.2412914839658337,1.05,0.501493513584137,2.0,2.0
en->fj,bible,chatgpt,0.0117129164665507,0.2684365421786885,1.1764705882352942,0.4992517530918121,4.0,3.0
fj->en,bible,chatgpt,0.3583129187641353,0.5442900812847772,0.5,0.6680207848548889,5.0,4.0
fj->en,bible,chatgpt,0.1196655750514248,0.2432728609422459,0.8947368421052632,0.3696832954883575,3.0,1.0
