seg_id,domain,sentence_type,direction,source,reference,system_masked,system_true,hypothesis,error_present,error_types,severity,rationale,annotator
SEG000062,conversational,,en->fj,he is from taveuni.,e gonetagane ni taveuni.,S01,microsoft_translate,O koya e lako mai Taveuni.,,,,,annotator_A
SEG000324,legal,,fj->en,na ivakaro tabaki ni veidigidigi me na soli ena loma ni na siga ni bera ni cava se mai na gauna e sa vakarota kina na peresitedi me boko na palimedi.,the writ for a general election must be issued within days from the expiry of parliament or from the proclamation of its dissolution by the president.,S02,gemini,The writ of election shall be issued within the day before it expires or from the time the president ordered parliament to be dissolved.,,,,,annotator_A
SEG000391,medical,,en->fj,Everyone in the household starts self-isolating on the day Mika's symptoms start.,Na siga e laurai kina vei Mika na ivakatakilakila era sa tekivu tiko vakatikitiki kina na lewe ni matavuvale taucoko.,S04,google_translate,Era sa tekivu vakatikitikitaki ira kece na lewe ni vale ena siga e tekivu kina na ivakatakilakila nei Mika.,,,,,annotator_A
SEG000276,legal,,en->fj,"except if corrupt practice is alleged, must be brought within days of the declarations of the poll.","vakavo ke vakasamataki ni oka kina na cakacaka vakabutobuto, na kudru me na kau cake ena loma ni na siga mai na kena kacivaki na macala ni veidigidigi.",S02,gemini,"Vakavo kevaka e beitaki na ivalavala ca, e dodonu me tekivutaki e loma ni [numera] na siga ni kena kacivaki na revurevu ni veidigidigi.",,,,,annotator_A
SEG000291,legal,,en->fj,"for the purpose of regulating essential services and industries, in the overall interests of the fijian economy and the citizens of fiji. employment relations .—() every person has the right to fair employment practices, including humane treatment and proper working conditions.","vakaituvatuvataki na cicivaki ni tabana ni veiqaravi e gadrevi kei na cicivaki ni veimataqali matacakacaka e gadrevi, ena vuku ni taraicake ni bula vakailavo e viti kei na lewei viti. veimaliwai vakacakacaka .—() na tamata taucoko e tiko vei ira na dodonu mera qaravi vakatautauvata ena gauna ni cakacaka, okati kina na nodra qaravi vinaka kei na tuvaki vinaka ni valenicakacaka. ----------------------- page -----------------------",S02,gemini,"Me vakatulewataki kina na veiqaravi bibi kei na tabana ni cakacaka, ena kena vinaka raraba ni i-lavo ni Viti kei na lewenivanua e Viti. Veiwekani ni cakacaka. —() Na tamata kecega e nona dodonu na i-vakarau ni cakacaka dodonu, oka kina na veidokai vakatamata kei na i-tuvaki ni cakacaka dodonu.",,,,,annotator_A
SEG000096,conversational,,fj->en,e vica na kena isau?,how much for the serve?,S04,google_translate,how much does it cost?,,,,,annotator_A
SEG000300,legal,,en->fj,"the right to be free from hate speech, whether directed against individuals or groups; and",na kena yalani ena vakatabakidua ena kena gadrevi ena gauna ni tikoleqa vakamatanitu; kei na,S02,gemini,"Na dodonu me galala mai na vosa ni veicati, se vakanamata tiko vei ira na tamata yadua se na iwasewase ni tamata.",,,,,annotator_A
SEG000195,definition,,fj->en,vonu,turtle,S02,gemini,turtle,,,,,annotator_A
SEG000161,definition,,fj->en,"yalo vinaka, beka, mada",please,S01,microsoft_translate,"Please, maybe, please.",,,,,annotator_A
SEG000069,conversational,,en->fj,my favourite food is roti and chicken curry.,na kequ kakana taleitaki na roti kei na kari toa.,S01,microsoft_translate,Na noqu kakana taleitaki na roti kei na chicken curry.,,,,,annotator_A
