translation	sentence_type	system	src	ref	hyp	BLEU_Score	CHRF++_Score	TER_Score
Fijian to English	short	GPT-4	"""Vakawaqana na ilokoloko"""	"""Put the pillow in the pillowcase"""	"""Break the dishes"""	4.1799174558423395	9.596356097413684	83.33333333333334
Fijian to English	short	Gemini 1.5 Pro	"""Vakawaqana na ilokoloko"""	"""Put the pillow in the pillowcase"""	"""Start the engine."""	4.1799174558423395	12.185011839679365	83.33333333333334
Fijian to English	short	Google Translate	"""Vakawaqana na ilokoloko"""	"""Put the pillow in the pillowcase"""	"""Turn on the clock"""	4.873039689743777	11.64851695968929	83.33333333333334
Fijian to English	short	Microsoft Translator	"""Vakawaqana na ilokoloko"""	"""Put the pillow in the pillowcase"""	"""The settlement has been established."""	0	13.507137281716394	100
English to Fijian	short	GPT-4	"""Put the pillow in the pillowcase"""	"""Vakawaqana na ilokoloko"""	"""Biuta na ulunivanua ena kena cover"""	4.082482905	13.753756328709207	166.66666666666669
English to Fijian	short	Gemini 1.5 Pro	"""Put the pillow in the pillowcase"""	"""Vakawaqana na ilokoloko"""	"""Biuta na itutuvi ni uluna ena loma ni nona itutuvi"""	2.1105340631872647	15.13429924566942	300
English to Fijian	short	Google Translate	"""Put the pillow in the pillowcase"""	"""Vakawaqana na ilokoloko"""	"""Vanuia na pilo ki na pilo ni vovo"""	2.777619034011792	23.600729788815926	233.33333333333334
English to Fijian	short	Microsoft Translator	"""Put the pillow in the pillowcase"""	"""Vakawaqana na ilokoloko"""	"""Biuta na itutuvi ena kato ni itutuvi"""	3.303164318013806	14.552068503387067	200
Fijian to English	long	GPT-4	"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo."""	"""We are meeting as church elders in the church this Saturday."""	"""We will have the church meeting this very Saturday."""	5.344197272146059	46.13770950267901	63.63636363636363
Fijian to English	long	Gemini 1.5 Pro	"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo."""	"""We are meeting as church elders in the church this Saturday."""	"""We will be having the church meeting this coming Saturday."""	5.314968932522299	45.35636270024834	63.63636363636363
Fijian to English	long	Google Translate	"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo."""	"""We are meeting as church elders in the church this Saturday."""	"We're going to have a meeting with the church on Saturday."""	4.740604259878138	44.04870076403813	72.72727272727273
Fijian to English	long	Microsoft Translator	"""Keitou na bose tiko na gasenilotu ena siga vakarauwai ga oqo."""	"""We are meeting as church elders in the church this Saturday."""	"""We are having a meeting of the church only on this coming Sunday."""	5.1424016050282635	41.875609247851024	81.81818181818183
English to Fijian	long	GPT-4	"""We just came back from the boys camp, and it was a great camp."""	"""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka."""	"""Keitou sa qai lesu mai na keba ni gone tagane, ka a keba vinaka sara."""	9.578261428131492	47.48781393584298	62.5
English to Fijian	long	Gemini 1.5 Pro	"""We just came back from the boys camp, and it was a great camp."""	"""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka."""	"""Keitou qai lesu mai na nodra keba na cauravou, ka sa dua dina na keba vinaka."""	3.6787632499277767	36.080464627546775	62.5
English to Fijian	long	Google Translate	"""We just came back from the boys camp, and it was a great camp."""	"""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka."""	"""Keimami se qai lesu mai na keba ni gonetagane, ka sa dua na keba totoka."""	20.25555677565484	53.505660528160156	50
English to Fijian	long	Microsoft Translator	"""We just came back from the boys camp, and it was a great camp."""	"""Keitou sa qai suka mai qo ena keba ni tagane, sa bau dua na keba totoka."""	"""Eda sa mai titi kemu mai na camp ni nona tiki, ka sa dua na camp magiti."""	3.201406061582137	19.767307244242232	81.25
