domain,direction,source_id,source_text,target_text,semantic_cosine,semantic_flag_low
medical,en->fj,medical|medical_misc|1a19128e35a7,Private doctors approved by the Ministry can also provide medical certificates for self-isolation.,Na vuniwai taucoko era sa vakadonuya na matanitu e rawa tale ga ni solia na ivola ni tiko vakatikitiki e vale.,-0.20704156,True
medical,fj->en,medical|medical_misc|1a19128e35a7,Na vuniwai taucoko era sa vakadonuya na matanitu e rawa tale ga ni solia na ivola ni tiko vakatikitiki e vale.,Private doctors approved by the Ministry can also provide medical certificates for self-isolation.,-0.20704156,True
legal,fj->en,constitution|109(13),na matabose me na solia wasoma na itukutuku kei na vakasala i na palimedi me baleta na nona itavi kei na kena qaravi.,the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,-0.18444723,True
legal,en->fj,constitution|109(13),the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,na matabose me na solia wasoma na itukutuku kei na vakasala i na palimedi me baleta na nona itavi kei na kena qaravi.,-0.18444723,True
legal,en->fj,constitution|150(3)(c),all transactions with or concerning the public money or public property of the state.,itukutuku vakailavo kece baleta na ilavo se iyau ni matanitu.,-0.181692,True
legal,fj->en,constitution|150(3)(c),itukutuku vakailavo kece baleta na ilavo se iyau ni matanitu.,all transactions with or concerning the public money or public property of the state.,-0.181692,True
legal,en->fj,constitution|150(10),"the auditor-general shall have control of the budget and finances of the office of the auditor-general, as approved by parliament.","na daunifika levu me na vakatulewataka na ituvatuva vakailavo ni valenivolavola ni daunifika levu, me vaka e sa vakadonui mai palimedi.",-0.16455719,True
legal,fj->en,constitution|150(10),"na daunifika levu me na vakatulewataka na ituvatuva vakailavo ni valenivolavola ni daunifika levu, me vaka e sa vakadonui mai palimedi.","the auditor-general shall have control of the budget and finances of the office of the auditor-general, as approved by parliament.",-0.16455719,True
legal,en->fj,constitution|123(d),"efficient, effective and economic use of public resources;",vakayagataki vakamatau ni iyau ni matanitu;,-0.16126382,True
legal,fj->en,constitution|123(d),vakayagataki vakamatau ni iyau ni matanitu;,"efficient, effective and economic use of public resources;",-0.16126381,True
