domain,direction,sentence_type_fine,source_id,source_doc,source_text,ref,chatgpt,gemini,google_translate,microsoft_translate,notes,chatgpt__st_cos,chatgpt__bertscore_f1,gemini__st_cos,gemini__bertscore_f1,google_translate__st_cos,google_translate__bertscore_f1,microsoft_translate__st_cos,microsoft_translate__bertscore_f1,chatgpt__neg_flip_flag,chatgpt__numeral_mismatch,chatgpt__ne_mismatch,chatgpt__needs_review_flag,gemini__neg_flip_flag,gemini__numeral_mismatch,gemini__ne_mismatch,gemini__needs_review_flag,google_translate__neg_flip_flag,google_translate__numeral_mismatch,google_translate__ne_mismatch,google_translate__needs_review_flag,microsoft_translate__neg_flip_flag,microsoft_translate__numeral_mismatch,microsoft_translate__ne_mismatch,microsoft_translate__needs_review_flag
bible,en->fj,statement,bible|genesis|018|033,bible_genesis_verse__en2fj.csv,"and the lord went his way, as soon as he had left communing with abraham: and abraham returned unto his place.",sa lako sara yani o jiova ena nona sala ni sa vosa oti vei eparaama “ka sa lesu tale o eparaama ki na nona tikina.,"rau na tu i atu na, ni oti mai na nona vosa kei abraham: ka a lesu o abraham ki na nona vanua.","Ka sa qai lako ko Jiova, ni sa oti na nona veivosaki kei Eparaama, ka sa qai lesu ko Eparaama ki na nona tikina.","a sa lako na turaga, ni sa oti na nona veivosaki kei Eparaama: a sa lesu tale ko Eparaama ki na nona tikina.","A sa lako ko Jiova, ni sa biubiu ga mai na nona veivosaki kei Eparaama: a sa lesu ko Eparaama ki na nona tikina.",,0.7915843,0.15159301,0.83344936,0.33668518,0.84777784,0.30388317,0.8015429,0.26653382,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|047|010,bible_genesis_verse__en2fj.csv,"and jacob blessed pharaoh, and went out from before pharaoh.",sa vakalouvinakataki fero o jekope ka lako tani mai matana.,"kei a dalo o iakobo na parau, a sa rauti ena ivakabalebale ni parau.","Ka vakalougatataka ko Jekope vei Fero, ka curu tani mai na mata i Fero.","a sa vosavakalougatataki Fero ko Jekope, ka lako tani mai na mata i Fero.","A sa vakalougatataki Fero ko Jekope, a sa lako tani e matai Fero.",,0.6095378,-0.07358165,0.6052059,0.31318262,0.6631739,0.30545437,0.55825186,0.31335425,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|032|019,bible_genesis_verse__en2fj.csv,"and so commanded he the second, and the third, and all that followed the droves, saying, on this manner shall ye speak unto esau, when ye find him.","sa vakarota talega nai karua ni lawalawa kei nai katolu ka vaka: ""me vaka talega oqori na veika mo ni tukuna vei iso ni kemuni sa kunei koya;","ka e vakaotia na i vakavuvuli ni katoro, ka na ikeli, ka na veika me rawata na droves, ni tukuna, ena nomu i ke naka e vakabauti Jiova na vatu ni esau, ni o veivakabauti veiba, ni o qarauna na esau.","Ka qai vakarota ko koya ki na kena ikarua, kei na ikatolu, kei ira kece era muri tiko mai na qele, ka kaya, Ena sala oqo dou na vosa kina vei Iso, ni dou sa kunea.","a sa vakarota vakakina vua nai karua, kei nai katolu, kei ira kecega era sa muria na qele ni sipi, ka kaya, Mo ni vosa vakaoqo vei esau, ni dou sa kunei koya.","A sa vakaroti ira na ikarua, kei na ikatolu, kei ira kece era sa muri ira na qele ni manumanu, ka kaya, Mo ni vosa vakaoqo vei Iso, ni ko ni sa kunei koya.",,0.76031905,0.058416873,0.830758,0.16745669,0.87067354,0.2900851,0.8511176,0.22327712,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|035|026,bible_genesis_verse__en2fj.csv,"and the sons of zilpah, leah's handmaid; gad, and asher: these are the sons of jacob, which were born to him in padanaram.","na luvei sipa tagane, (na dauveiqaravi) nei lia; o kata kei aseri. oqo, o ira na luvei jekope tagane era sa vakasucumi vua e padani-erami.","na, na okada ni zilpah, na yaca ni lea; gad, kei asher: oqo na luvena i jakobu, era sa biau vei ira e padanaram.","Kei na luvedrau tagane i Silipa, na vada i Lia; o Kata, kei Asera: o ira oqo na luvena tagane i Jekope, era sucu vua mai Patana-Arama.","kei iratou na luve i Silipa, na vada i Lia; kata, kei Aseri: oqo na luve i Jekope tagane, erau a sucu vua mai Padanarami.","kei iratou na luvei Silapa, na vada i Lia; O Kati, kei Asa: Sai ira oqo na luvei Jekope, ka ra a sucu vua mai Padanarama.",,0.8812342,0.115303144,0.7582427,0.27224442,0.69702506,0.3203585,0.8150234,0.23146906,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|027|037,bible_genesis_verse__en2fj.csv,"and isaac answered and said unto esau, behold, i have made him thy lord, and all his brethren have i given to him for servants; and with corn and wine have i sustained him: and what shall i do now unto thee, my son?","sa sauma mai o aisake ka tukuna vei iso, ""raica, au sa cakava me nomu turaga o koya, o ira kece na tacina, me ra nona i talai, na sila kei na waini me maroroi koya “na cava tale me'u cakava vei iko na luvequ? ""","oi, e na vosa, e tukuna mai vei Esau, raica, au sa vakavuna koya me nona turaga, ka sa ikoya na nona itukuni kece; ka au sa vakaitavi vei koya na koli kei na wainimakau: ka na cava au na cakava oqo vei iko, na luvequ?","A sa vosa ko Aisake vei Iso ka kaya, Raica, au sa lesia koya me nomu turaga, ka'u sa solia na wekana kecega vua me nona tamata; ka'u sa vakani koya ena sila kei na waini: ia na luvequ, a cava beka me'u cakava vei kemuni e na gauna oqo?","a sauma o Aisake ka kaya vei Esau, raica, au sa lesi koya me nomu turaga, ka'u sa soli ira kecega na tacina me ra tamata; ka'u sa vakabulai koya e na sila kei na waini: ia a cava me'u kitaka vei iko edaidai, na luvequ?","A sa vosa ko Aisake ka kaya vei Iso, Raica, au sa lesi koya me nomu turaga, kau sa lesi ira kece na wekana me nodra dauveiqaravi; ka'u sa qaravi koya ena sila kei na waini: ia a cava me'u kitaka vei iko na luvequ?",,0.9044634,0.3119144,0.90090185,0.3066039,0.8974114,0.45986843,0.9244246,0.3414211,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|014|007,bible_genesis_verse__en2fj.csv,"and they returned, and came to enmishpat, which is kadesh, and smote all the country of the amalekites, and also the amorites, that dwelt in hazezontamar.","era sa vuki lesu tale ka lako mai ki misifata (o ya o kadesi) ka valuti ira kece na amalekaiti kei ira na amoraiti, o ira sa vakaitikotiko e asesoni tamari.","ka ratou lesu tale, ka ratou mai ki enmishpat, e toloti e kadesi, ka ratou vala na veimisini kece mai na amaleaiti, ka kei na amori, era nonoi e hazezontamar.","ka ra lesu mai, ka ra yaco ki Enmishpat, o ya ko Kadesa, ka ra labata na vanua taucoko ni kai Amalek, ka vaka talega kina na kai Amoraiti, era tiko mai Hasesoni-tama.","a ra sa lesu tale, ka yaco ki Enimisipati, ko ya ko Ketesa, a ra sa samuta na nodra vanua taucoko na Amalekaiti, kei ira talega na Amoraiti, era sa tiko mai Esesoni Tamari.","Era sa lesu tale ka yaco ki Enmisipati, ko Kadesi ka yavita na nodra vanua taucoko na Amelekaiti, kei ira talega na Amoraiti, ka ra vakaitikotiko mai Esesonima.",,0.48588735,0.15789871,0.84486395,0.14955844,0.7965426,0.23726621,0.79887795,0.2791848,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|041|025,bible_genesis_verse__en2fj.csv,"and joseph said unto pharaoh, the dream of pharaoh is one: god hath shewed pharaoh what he is about to do.","sa tukuna o joseva vei fero, ""sa dua ga na tadra nei fero, na kalou sa vakaraitaka vei fero na veika sa vakarau me cakava:","e muri a vao na josefa vei pararoa, na sotia o pararoa e dua: sa vakaraitaka o Jiova vei pararoa na ka ena cakava.","Kei na kaya ko Josefa vei Fero, sa dua ga na tadra nei Fero: sa vakaraitaka na Kalou vei Fero na ka sa vakarau ni cakava.","a sa kaya vei Fero ko Josefa, Sa duabau ga na tadra nei Fero: sa vakatakila vei Fero na kalou na ka sa vakarau cakava ko koya.","A sa kaya vei Fero ko Josefa, Sa dua ga na tadra i Fero: Sa vakatakila vei Fero na Kalou na ka sa vakarau cakava.",,0.8648617,0.26274896,0.9164256,0.42386922,0.9017904,0.33628118,0.8855509,0.35373408,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|004|005,bible_genesis_verse__en2fj.csv,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.,"e sa loma o keina e sega ni loloma. a tu kina o keina e toso vakalevu, a segai tale ga na nona i vakai.","Ia vei Keini kei na nona madrali e sega ni ciqoma. Ka sa cudru vakalevu sara ko Keini, ka sa lutu na matana.","ia sa sega ni taleitaka o Keni kei na nona i madrali. a sa cudru vakalevu ko Keni, ka sa luluvu na matana.","ia sa sega ni doka ko Keni kei na nona vakacacabo. A sa cudru vakalevu ko Keni, ka sa rarawa na kena irairai.",,0.8242035,0.17235717,0.71142983,0.29822445,0.6886225,0.38516656,0.76992774,0.36133415,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|026|025,bible_genesis_verse__en2fj.csv,"and he builded an altar there, and called upon the name of the lord, and pitched his tent there: and there isaac's servants digged a well.",sa tara mai kea e dua nai cabocabo ni soro ka kaciva mai kea na yaca i jiova. sa tara talega e kea na nona valelaca; era sa kelia mai kea e dua na mata ni wai na dauveiqaravi nei aisake.,"e na koya e dua na altar e ra, e qoqo na yaca i Jiova, e tiko e ra: e ra na tamata i Iisake era vakarauti e dua na wai.","ka a viria maikea e dua nai cabocabo ni soro, ka a kaciva na yaca i Jiova, ka a viria na nona vale laca maikea: ka maikea na nona tamata i Aisake era a kelia e dua na tobu.","a sa cakava maikea e dua nai cabocabo-ni-soro, ka masuta na yaca ni turaga, ka birika kina na nona vale laca: a ra sa kelia maikea e dua nai keli-wai ko ira na tamata i Aisake.","A sa tara kina e dua na icabocabo ni soro, ka masuta na yaca i Jiova, ka birika kina na nona vale laca: era sa kelia mai kea na tobu ko ira na tamata i Aisake.",,0.7582566,0.053249054,0.89208126,0.28622717,0.85480815,0.29320002,0.74345434,0.27772588,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
bible,en->fj,statement,bible|genesis|018|011,bible_genesis_verse__en2fj.csv,now abraham and sarah were old and well stricken in age; and it ceased to be with sarah after the manner of women.,o eparaama kei sera e rau sa qase sara ka sa levu na nodrau veiyabaki; sa sivia talega o sera na veiyabaki ni vakasucu gone.,ia sa abraham ka sarah e dua na nodra yabaki gaga ka mudu; ka sa sega ni yaco vei sarah e na ivakarau ni vakatagana.,"Oqo erau sa qase sara ko Eparama kei Sera, ka sa mudu vei Sera na nodra ivakarau na yalewa.",oqo erau sa qase sara ko Eparaama kei Sera ka sa levu sara na nodrau yabaki; a sa mudu vei Sera me vaka nai valavala ni yalewa.,Ia ko Eparaama kei Sera erau sa qase sara ka rau sa qase sara; A sa sega tale ni tiko vei Sera me vaka na kena ivalavala vakamarama.,,0.7162031,0.16923839,0.5393827,0.29420015,0.6595696,0.35627297,0.7344636,0.24919744,0,0.0,0.0,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0.0,1.0,1
