domain,direction,sentence_type_fine,source_id,source_doc,source_text,ref,chatgpt,gemini,google_translate,microsoft_translate,notes,bleu__chatgpt,bleu__gemini,bleu__google_translate,bleu__microsoft_translate,chrf__chatgpt,chrf__gemini,chrf__google_translate,chrf__microsoft_translate,meteor__chatgpt,meteor__gemini,meteor__google_translate,meteor__microsoft_translate,len_ratio__chatgpt,len_ratio__gemini,len_ratio__google_translate,len_ratio__microsoft_translate,edit_dist__chatgpt,edit_dist__gemini,edit_dist__google_translate,edit_dist__microsoft_translate,exact_match__chatgpt,exact_match__gemini,exact_match__google_translate,exact_match__microsoft_translate,ter__chatgpt,ter__gemini,ter__google_translate,ter__microsoft_translate,bertscore_f1__chatgpt,bertscore_f1__gemini,bertscore_f1__google_translate,bertscore_f1__microsoft_translate,comet__chatgpt,comet__gemini,comet__google_translate,comet__microsoft_translate,bleurt__chatgpt,bleurt__gemini,bleurt__google_translate,bleurt__microsoft_translate
bible,en->fj,statement,bible|genesis|018|033,bible_genesis_verse__en2fj.csv,"and the lord went his way, as soon as he had left communing with abraham: and abraham returned unto his place.",sa lako sara yani o jiova ena nona sala ni sa vosa oti vei eparaama “ka sa lesu tale o eparaama ki na nona tikina.,"rau na tu i atu na, ni oti mai na nona vosa kei abraham: ka a lesu o abraham ki na nona vanua.","Ka sa qai lako ko Jiova, ni sa oti na nona veivosaki kei Eparaama, ka sa qai lesu ko Eparaama ki na nona tikina.","a sa lako na turaga, ni sa oti na nona veivosaki kei Eparaama: a sa lesu tale ko Eparaama ki na nona tikina.","A sa lako ko Jiova, ni sa biubiu ga mai na nona veivosaki kei Eparaama: a sa lesu ko Eparaama ki na nona tikina.",,0.050774167285420495,0.23352648136133092,0.23765837259435085,0.2101858448745239,0.28165188941943925,0.5555578404883336,0.6098649083485063,0.569461239276758,0.3,0.5853884287148594,0.5741039426523298,0.5271084337349399,0.92,0.96,0.92,0.96,57.0,42.0,35.0,44.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|047|010,bible_genesis_verse__en2fj.csv,"and jacob blessed pharaoh, and went out from before pharaoh.",sa vakalouvinakataki fero o jekope ka lako tani mai matana.,"kei a dalo o iakobo na parau, a sa rauti ena ivakabalebale ni parau.","Ka vakalougatataka ko Jekope vei Fero, ka curu tani mai na mata i Fero.","a sa vosavakalougatataki Fero ko Jekope, ka lako tani mai na mata i Fero.","A sa vakalougatataki Fero ko Jekope, a sa lako tani e matai Fero.",,0.0169861974906263,0.03798229226827674,0.2891784933232572,0.04131551591106297,0.19119536907456322,0.47630953067854254,0.6265617570950746,0.551276663041202,0.09615384615384616,0.3576923076923077,0.6465855572998429,0.3611650485436893,1.4,1.4,1.4,1.3,48.0,33.0,22.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|032|019,bible_genesis_verse__en2fj.csv,"and so commanded he the second, and the third, and all that followed the droves, saying, on this manner shall ye speak unto esau, when ye find him.","sa vakarota talega nai karua ni lawalawa kei nai katolu ka vaka: ""me vaka talega oqori na veika mo ni tukuna vei iso ni kemuni sa kunei koya;","ka e vakaotia na i vakavuvuli ni katoro, ka na ikeli, ka na veika me rawata na droves, ni tukuna, ena nomu i ke naka e vakabauti Jiova na vatu ni esau, ni o veivakabauti veiba, ni o qarauna na esau.","Ka qai vakarota ko koya ki na kena ikarua, kei na ikatolu, kei ira kece era muri tiko mai na qele, ka kaya, Ena sala oqo dou na vosa kina vei Iso, ni dou sa kunea.","a sa vakarota vakakina vua nai karua, kei nai katolu, kei ira kecega era sa muria na qele ni sipi, ka kaya, Mo ni vosa vakaoqo vei esau, ni dou sa kunei koya.","A sa vakaroti ira na ikarua, kei na ikatolu, kei ira kece era sa muri ira na qele ni manumanu, ka kaya, Mo ni vosa vakaoqo vei Iso, ni ko ni sa kunei koya.",,0.016017951809519034,0.033591335903431406,0.07016289861392626,0.058460120446579916,0.33009507482588163,0.40489211709542433,0.450219966781595,0.45366759553474645,0.13651877133105803,0.2389831961591221,0.4915923025556972,0.35109860553647537,1.4642857142857142,1.2857142857142858,1.1785714285714286,1.2142857142857142,127.0,92.0,78.0,79.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|035|026,bible_genesis_verse__en2fj.csv,"and the sons of zilpah, leah's handmaid; gad, and asher: these are the sons of jacob, which were born to him in padanaram.","na luvei sipa tagane, (na dauveiqaravi) nei lia; o kata kei aseri. oqo, o ira na luvei jekope tagane era sa vakasucumi vua e padani-erami.","na, na okada ni zilpah, na yaca ni lea; gad, kei asher: oqo na luvena i jakobu, era sa biau vei ira e padanaram.","Kei na luvedrau tagane i Silipa, na vada i Lia; o Kata, kei Asera: o ira oqo na luvena tagane i Jekope, era sucu vua mai Patana-Arama.","kei iratou na luve i Silipa, na vada i Lia; kata, kei Aseri: oqo na luve i Jekope tagane, erau a sucu vua mai Padanarami.","kei iratou na luvei Silapa, na vada i Lia; O Kati, kei Asa: Sai ira oqo na luvei Jekope, ka ra a sucu vua mai Padanarama.",,0.023378667840149966,0.12991916506579942,0.13048038402447693,0.06047796937561043,0.27494495881687553,0.4613657438465399,0.47140185431135606,0.40725436905798823,0.2345183201943577,0.4778659611992946,0.38330578512396696,0.3772410358565737,0.96,1.08,1.0,1.04,73.0,69.0,60.0,68.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|027|037,bible_genesis_verse__en2fj.csv,"and isaac answered and said unto esau, behold, i have made him thy lord, and all his brethren have i given to him for servants; and with corn and wine have i sustained him: and what shall i do now unto thee, my son?","sa sauma mai o aisake ka tukuna vei iso, ""raica, au sa cakava me nomu turaga o koya, o ira kece na tacina, me ra nona i talai, na sila kei na waini me maroroi koya “na cava tale me'u cakava vei iko na luvequ? ""","oi, e na vosa, e tukuna mai vei Esau, raica, au sa vakavuna koya me nona turaga, ka sa ikoya na nona itukuni kece; ka au sa vakaitavi vei koya na koli kei na wainimakau: ka na cava au na cakava oqo vei iko, na luvequ?","A sa vosa ko Aisake vei Iso ka kaya, Raica, au sa lesia koya me nomu turaga, ka'u sa solia na wekana kecega vua me nona tamata; ka'u sa vakani koya ena sila kei na waini: ia na luvequ, a cava beka me'u cakava vei kemuni e na gauna oqo?","a sauma o Aisake ka kaya vei Esau, raica, au sa lesi koya me nomu turaga, ka'u sa soli ira kecega na tacina me ra tamata; ka'u sa vakabulai koya e na sila kei na waini: ia a cava me'u kitaka vei iko edaidai, na luvequ?","A sa vosa ko Aisake ka kaya vei Iso, Raica, au sa lesi koya me nomu turaga, kau sa lesi ira kece na wekana me nodra dauveiqaravi; ka'u sa qaravi koya ena sila kei na waini: ia a cava me'u kitaka vei iko na luvequ?",,0.11125382292406938,0.12802810533569897,0.22915696909305858,0.25269325339484866,0.44175222375083206,0.4956056313862858,0.535979097827158,0.5194928929244395,0.3654456762749446,0.4900134159393419,0.49490022172949,0.5251181222374638,1.0222222222222221,1.1111111111111112,1.0222222222222221,1.0,107.0,116.0,94.0,92.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|014|007,bible_genesis_verse__en2fj.csv,"and they returned, and came to enmishpat, which is kadesh, and smote all the country of the amalekites, and also the amorites, that dwelt in hazezontamar.","era sa vuki lesu tale ka lako mai ki misifata (o ya o kadesi) ka valuti ira kece na amalekaiti kei ira na amoraiti, o ira sa vakaitikotiko e asesoni tamari.","ka ratou lesu tale, ka ratou mai ki enmishpat, e toloti e kadesi, ka ratou vala na veimisini kece mai na amaleaiti, ka kei na amori, era nonoi e hazezontamar.","ka ra lesu mai, ka ra yaco ki Enmishpat, o ya ko Kadesa, ka ra labata na vanua taucoko ni kai Amalek, ka vaka talega kina na kai Amoraiti, era tiko mai Hasesoni-tama.","a ra sa lesu tale, ka yaco ki Enimisipati, ko ya ko Ketesa, a ra sa samuta na nodra vanua taucoko na Amalekaiti, kei ira talega na Amoraiti, era sa tiko mai Esesoni Tamari.","Era sa lesu tale ka yaco ki Enmisipati, ko Kadesi ka yavita na nodra vanua taucoko na Amelekaiti, kei ira talega na Amoraiti, ka ra vakaitikotiko mai Esesonima.",,0.05128780245970695,0.01829411709747265,0.13181313433495553,0.05877197533882326,0.3536272351235602,0.3653840597406574,0.4701515030135949,0.5011725512342459,0.25526129334941877,0.1762820512820513,0.4033546325878594,0.3295693087224032,0.967741935483871,1.064516129032258,1.096774193548387,0.9032258064516129,79.0,88.0,73.0,66.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|041|025,bible_genesis_verse__en2fj.csv,"and joseph said unto pharaoh, the dream of pharaoh is one: god hath shewed pharaoh what he is about to do.","sa tukuna o joseva vei fero, ""sa dua ga na tadra nei fero, na kalou sa vakaraitaka vei fero na veika sa vakarau me cakava:","e muri a vao na josefa vei pararoa, na sotia o pararoa e dua: sa vakaraitaka o Jiova vei pararoa na ka ena cakava.","Kei na kaya ko Josefa vei Fero, sa dua ga na tadra nei Fero: sa vakaraitaka na Kalou vei Fero na ka sa vakarau ni cakava.","a sa kaya vei Fero ko Josefa, Sa duabau ga na tadra nei Fero: sa vakatakila vei Fero na kalou na ka sa vakarau cakava ko koya.","A sa kaya vei Fero ko Josefa, Sa dua ga na tadra i Fero: Sa vakatakila vei Fero na Kalou na ka sa vakarau cakava.",,0.02400264673103395,0.4263550771707511,0.25567957494892185,0.27748702735605824,0.3446601024787399,0.6561851803170852,0.5701111877432282,0.5638555975929957,0.20080321285140565,0.7450530288817031,0.6530472271213013,0.6582716049382716,0.96,1.04,1.08,1.0,66.0,34.0,61.0,52.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|004|005,bible_genesis_verse__en2fj.csv,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.,"e sa loma o keina e sega ni loloma. a tu kina o keina e toso vakalevu, a segai tale ga na nona i vakai.","Ia vei Keini kei na nona madrali e sega ni ciqoma. Ka sa cudru vakalevu sara ko Keini, ka sa lutu na matana.","ia sa sega ni taleitaka o Keni kei na nona i madrali. a sa cudru vakalevu ko Keni, ka sa luluvu na matana.","ia sa sega ni doka ko Keni kei na nona vakacacabo. A sa cudru vakalevu ko Keni, ka sa rarawa na kena irairai.",,0.05302459604351236,0.06979197559089068,0.2820315375668141,0.21496419037514508,0.3299787278675601,0.4219662179845826,0.5314819133794764,0.5396728837893033,0.2207598547717842,0.4522605764760576,0.6276150627615061,0.6075313807531381,1.0416666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,67.0,69.0,41.0,38.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|026|025,bible_genesis_verse__en2fj.csv,"and he builded an altar there, and called upon the name of the lord, and pitched his tent there: and there isaac's servants digged a well.",sa tara mai kea e dua nai cabocabo ni soro ka kaciva mai kea na yaca i jiova. sa tara talega e kea na nona valelaca; era sa kelia mai kea e dua na mata ni wai na dauveiqaravi nei aisake.,"e na koya e dua na altar e ra, e qoqo na yaca i Jiova, e tiko e ra: e ra na tamata i Iisake era vakarauti e dua na wai.","ka a viria maikea e dua nai cabocabo ni soro, ka a kaciva na yaca i Jiova, ka a viria na nona vale laca maikea: ka maikea na nona tamata i Aisake era a kelia e dua na tobu.","a sa cakava maikea e dua nai cabocabo-ni-soro, ka masuta na yaca ni turaga, ka birika kina na nona vale laca: a ra sa kelia maikea e dua nai keli-wai ko ira na tamata i Aisake.","A sa tara kina e dua na icabocabo ni soro, ka masuta na yaca i Jiova, ka birika kina na nona vale laca: era sa kelia mai kea na tobu ko ira na tamata i Aisake.",,0.09789159315784651,0.2539542668072638,0.04510664381628309,0.2313290181207155,0.2714733182229185,0.6052679705880752,0.558009767295687,0.5565532376492476,0.20988520408163264,0.3781790493975369,0.27557776923405525,0.45701408135270577,0.7560975609756098,0.9512195121951219,0.8780487804878049,0.8780487804878049,109.0,79.0,68.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
bible,en->fj,statement,bible|genesis|018|011,bible_genesis_verse__en2fj.csv,now abraham and sarah were old and well stricken in age; and it ceased to be with sarah after the manner of women.,o eparaama kei sera e rau sa qase sara ka sa levu na nodrau veiyabaki; sa sivia talega o sera na veiyabaki ni vakasucu gone.,ia sa abraham ka sarah e dua na nodra yabaki gaga ka mudu; ka sa sega ni yaco vei sarah e na ivakarau ni vakatagana.,"Oqo erau sa qase sara ko Eparama kei Sera, ka sa mudu vei Sera na nodra ivakarau na yalewa.",oqo erau sa qase sara ko Eparaama kei Sera ka sa levu sara na nodrau yabaki; a sa mudu vei Sera me vaka nai valavala ni yalewa.,Ia ko Eparaama kei Sera erau sa qase sara ka rau sa qase sara; A sa sega tale ni tiko vei Sera me vaka na kena ivalavala vakamarama.,,0.02191286020886785,0.06243787625937563,0.09140390325615233,0.1887719053646223,0.3099994543979318,0.4347662284168004,0.554491180843041,0.47051361722172,0.14,0.30491803278688523,0.4817581794622612,0.39689407582384173,1.0,0.76,1.08,1.12,75.0,74.0,67.0,64.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
